463445012374499328	519632882940129280	@OmniJerBear haha should have had #sarcasm at the end	-0.56
463501257110724610	519632911473987584	Really excited for these last few days of school and everything that is going to be due! #sarcasm	-1.27
463131198491860992	519633201514291200	Omg guys almost at 6k tweets #blessed #sarcasm	-2.87
463064062134583296	519633318086586368	American office is holding us back from a mad night out in walsham.. Wooo! @AndrewJBreeds #sarcasm #walsham #kack #Americanoffice #awesome	-2.33
463115254843854848	519633554041339904	I love how twitter tells me when I follow someone \nLike Oh I didn't know I clicked the follow button for this person\n#sarcasm #	-2.58
463045226412929025	519633850666713088	@UpparNeeche And as a defender of your beliefs, you have quite the colourful vocabulary. Way to spread peace and love #sarcasm	-1.83
463202001635913728	519633939032317954	It's totally fine to blare music in the house when I have school in the morning... #sarcasm 	-1.83
463024234101751809	519633968715403264	@leerandyjr @tngstreet @BearlyDoug @MarkRogersTV @hwsport @ESPN_Future wait....where is Bama?? #sarcasm	-2.17
463429219792347136	519634115834834945	Big Brother Canada needs more cymbal sound effects. As a TV watcher, I'm too stupid to tell when a scene is suspenseful on my own. #sarcasm	-2.58
463066733775835136	519634792904527873	“@erikaekengren: From 50 to 100 degrees in less than a week #kansas” #cantwait #sarcasm	-3
463430535365152769	519634822470197249	@IsnogleJacob What did we do in English? Was mrs.king as entertaining as usual #sarcasm	-1.78
463210227266252800	519634940158160896	not even jealous of anyone who's off today for the bank holiday #sarcasm #LuckyPunks	-2.87
463132272929947648	519635028444082176	Just heard the funniest joke: "May the fourth be with you." #sarcasm #itsnotthatfunny #stfu	-2.64
463146171737702400	519635146249482242	@technolandy @brynmw Good one. #sarcasm #bcedchat	-2.67
463161404120236034	519635175521538048	“@AllKnowA: We all know someone we want but can never get” wow... This isn't the story of my life #sarcasm	-2.49
463029433469644800	519635470708244482	I've had a perfectly wonderful evening. This wasn't it. #sarcasm	-2.19
463547417519206400	519635499921592320	Falling asleep to girls screaming at each other #onlyinkzoo #sarcasm	-2.86
463426813059141633	519635675193171968	And now I can say that I have been to New Castle, Indiana. Bucket List shortened. #sarcasm	-2.17
463487398249496576	519635734030872578	thank you for making my birthday FACKING awsome no really #sarcasm	-2.1
463354274890936320	519635763277746176	Michelle Obama is having lunch next door to my office. It's had zero affect on traffic or one's ability to cross the street. #sarcasm	-2.54
463465578611892224	519635998238441474	@Pacers Hibbert no points. No rebounds. But three fouls. Thanks for showing up big fella. #sarcasm	-1.3
463477084069703680	519636150554591232	My ankle seriously is injured and hurting.. thanks girl from Northside! #sarcasm	-2.87
471722453064888320	519636268599087104	Aaron Hernandez killed 2 guys over a spilled drink? Today's show topic: what's the dumbest thing you've ever killed someone for? #sarcasm	-3.28
463104534207033345	519636504520314880	7 mins into the game and #NYR are 0-2 on the PP. #awesome #sarcasm	-1.67
463031258407526400	519636536812269570	Nothing needs improvement. Nothing at all. The world is perfect. Iced coffee tastes great! #sarcasm	-1.5
463524281788280832	519636683428352000	Like let's get drunk daily and be total DBags! What a great way to live my life. #sarcasm #whatashame	-2.4
463030229821190144	519636889049911296	@Kathleen_Wynne saying you want federal support, then attacking the feds... it'll totally work out well! #sarcasm #CdnPoli	-2.2
463490895942549504	519637035875717120	Wait... The @Pacers fans are leaving early? I thought they had the best fans? #sarcasm	-2.96
471692424071229440	519637094528860163	#truestory #funny #life #sarcasm #totallyme instagram.com/p/ojCvnWuo42/	-2.5
463285270427598849	519637270907719681	@GabeDeArmond too bad Kim Anderson will not be able to recruit the really good players. Too bad we have to settle on D-2 players #sarcasm	-0.9
463399306972889088	519637359143305216	No better way to celebrate cinco de mayo than with a Spanish final #sarcasm #therearebetterways	-2.1
471687420375601152	519637567155630080	The clear answer to all of these pitcher injuries is just to ban baseball. Amazed no one has thought of it. #sarcasm	-1.3
463379805095075841	519637685363691520	What a beauitful day to go inside and work #sarcasm	-2.49
463355946329440257	519637773003669504	I love finding things out from other people. #sarcasm	-2.86
463271454344110081	519637891253694464	Love watching news stories about plane issues while waiting at the airport #sarcasm	-0.77
471701167932977153	519637949990699014	@DR1Dreamer I guess that's related to the Jordan/Ben mystery. That will make it more interesting #sarcasm.	-3.41
463042127166193664	519638155515797504	RT @JozefKnazko: I'm so pleased to work with #Android API. Its consistency and intuitiveness is unbelievable. Thank you Google! #sarcasm	-2.12
463018848917401600	519638510009982976	#sarcasm #sarcastictweet #SarcasmMuch #humour #FunFact #funniespicture #funniestbadgirls #relatable #fact #factonly pic.twitter.com/ule86At6QA	-0.9
463320693049147393	519638605099069440	I love when teachers purposefully try to lower the class average. #sarcasm	-2.65
463576135775690752	519638664414892033	Proud to be an Aussie #sarcasm #refugees thevine.com.au/life/news/10-t…	-2.58
463101591709839360	519638723495878657	20 minutes until Lady Gaga, I can't believe it's really happening #sarcasm #itwasfree flip.it/aeJxQ	-2.78
463425274860675072	519638898746466304	Gotta love the Tri-cities. Soooo many cuties. NOT! #sarcasm	-3.49
463333389530300416	519638958083280896	Its my shirt anyways. I can do whatever i want #LOL #SGVINES #RoyalSWEK #sarcasm #PostYourDrafts vine.co/v/M6qL0gb5bAJ	-0.99
463082270333485058	519639046088187904	#sarcasm??"@IAM_Kaytie: It's #PaulWalker week!!! Living Life Fast & Furious! LOL!!"	-2.64
460271327782260736	519639105009745920	And now we enter the stay up all night listening to sad music mood... great, I absolutely love these kinds of nights... #sarcasm	-3.04
463240338552143872	519639134344712193	Ready for another joyous day of studying...#sarcasm	-2.52
463311188156489728	519639281262800896	@EmmaSamms1 @I_GregoryPorter @cheltfestivals @rockthecotswolds sorry slow on the #sarcasm today!	-2.55
